ID,SystemCodeNumber,Capacity,Latitude,Longitude,Occupancy,VehicleType,TrafficConditionNearby,QueueLength,IsSpecialDay,LastUpdatedDate,LastUpdatedTime,timestamp
0,BHMBCCMKT01,577,26.14453614,91.73617216,61,car,low,1,0,04-10-2016,07:59:00,2016-10-04T07:59:00.000+0000
1,BHMBCCMKT01,577,26.14453614,91.73617216,64,car,low,1,0,04-10-2016,08:25:00,2016-10-04T08:25:00.000+0000
2,BHMBCCMKT01,577,26.14453614,91.73617216,80,car,low,2,0,04-10-2016,08:59:00,2016-10-04T08:59:00.000+0000
3,BHMBCCMKT01,577,26.14453614,91.73617216,107,car,low,2,0,04-10-2016,09:32:00,2016-10-04T09:32:00.000+0000
4,BHMBCCMKT01,577,26.14453614,91.73617216,150,bike,low,2,0,04-10-2016,09:59:00,2016-10-04T09:59:00.000+0000
5,BHMBCCMKT01,577,26.14453614,91.73617216,177,car,low,3,0,04-10-2016,10:26:00,2016-10-04T10:26:00.000+0000
6,BHMBCCMKT01,577,26.14453614,91.73617216,219,truck,high,6,0,04-10-2016,10:59:00,2016-10-04T10:59:00.000+0000
7,BHMBCCMKT01,577,26.14453614,91.73617216,247,car,average,5,0,04-10-2016,11:25:00,2016-10-04T11:25:00.000+0000
8,BHMBCCMKT01,577,26.14453614,91.73617216,259,cycle,average,5,0,04-10-2016,11:59:00,2016-10-04T11:59:00.000+0000
9,BHMBCCMKT01,577,26.14453614,91.73617216,266,bike,high,8,0,04-10-2016,12:29:00,2016-10-04T12:29:00.000+0000
10,BHMBCCMKT01,577,26.14453614,91.73617216,269,car,high,7,0,04-10-2016,13:02:00,2016-10-04T13:02:00.000+0000
11,BHMBCCMKT01,577,26.14453614,91.73617216,263,car,high,7,0,04-10-2016,13:29:00,2016-10-04T13:29:00.000+0000
12,BHMBCCMKT01,577,26.14453614,91.73617216,238,car,high,5,0,04-10-2016,14:02:00,2016-10-04T14:02:00.000+0000
13,BHMBCCMKT01,577,26.14453614,91.73617216,215,truck,average,3,0,04-10-2016,14:29:00,2016-10-04T14:29:00.000+0000
14,BHMBCCMKT01,577,26.14453614,91.73617216,192,bike,average,3,0,04-10-2016,14:57:00,2016-10-04T14:57:00.000+0000
15,BHMBCCMKT01,577,26.14453614,91.73617216,165,car,low,2,0,04-10-2016,15:30:00,2016-10-04T15:30:00.000+0000
16,BHMBCCMKT01,577,26.14453614,91.73617216,162,bike,low,1,0,04-10-2016,16:04:00,2016-10-04T16:04:00.000+0000
17,BHMBCCMKT01,577,26.14453614,91.73617216,143,car,average,2,0,04-10-2016,16:31:00,2016-10-04T16:31:00.000+0000
18,BHMBCCMKT01,577,26.14453614,91.73617216,54,car,low,1,0,05-10-2016,07:57:00,2016-10-05T07:57:00.000+0000
19,BHMBCCMKT01,577,26.14453614,91.73617216,59,car,average,1,0,05-10-2016,08:30:00,2016-10-05T08:30:00.000+0000
20,BHMBCCMKT01,577,26.14453614,91.73617216,71,car,low,2,0,05-10-2016,09:04:00,2016-10-05T09:04:00.000+0000
21,BHMBCCMKT01,577,26.14453614,91.73617216,83,car,average,2,0,05-10-2016,09:30:00,2016-10-05T09:30:00.000+0000
22,BHMBCCMKT01,577,26.14453614,91.73617216,114,car,low,3,0,05-10-2016,10:04:00,2016-10-05T10:04:00.000+0000
23,BHMBCCMKT01,577,26.14453614,91.73617216,128,truck,high,4,0,05-10-2016,10:30:00,2016-10-05T10:30:00.000+0000
24,BHMBCCMKT01,577,26.14453614,91.73617216,148,bike,average,4,0,05-10-2016,11:04:00,2016-10-05T11:04:00.000+0000
25,BHMBCCMKT01,577,26.14453614,91.73617216,162,car,average,4,0,05-10-2016,11:30:00,2016-10-05T11:30:00.000+0000
26,BHMBCCMKT01,577,26.14453614,91.73617216,178,car,high,6,0,05-10-2016,12:04:00,2016-10-05T12:04:00.000+0000
27,BHMBCCMKT01,577,26.14453614,91.73617216,183,car,high,7,0,05-10-2016,12:30:00,2016-10-05T12:30:00.000+0000
28,BHMBCCMKT01,577,26.14453614,91.73617216,175,car,high,7,0,05-10-2016,12:57:00,2016-10-05T12:57:00.000+0000
29,BHMBCCMKT01,577,26.14453614,91.73617216,179,truck,high,6,0,05-10-2016,13:30:00,2016-10-05T13:30:00.000+0000
30,BHMBCCMKT01,577,26.14453614,91.73617216,174,car,average,4,0,05-10-2016,13:57:00,2016-10-05T13:57:00.000+0000
31,BHMBCCMKT01,577,26.14453614,91.73617216,158,car,high,5,0,05-10-2016,14:30:00,2016-10-05T14:30:00.000+0000
32,BHMBCCMKT01,577,26.14453614,91.73617216,145,car,average,3,0,05-10-2016,14:57:00,2016-10-05T14:57:00.000+0000
